Chr,Ne,S,L,nAll,nprimeAll,nSep,nprimeSep
4,3200,100,50000,1249975000,96442,937481250,174715
4,3200,200,100,4950,,3713,
4,3200,200,250,31125,,23344,
4,3200,200,500,124750,,93563,
4,3200,200,1000,499500,,374625,
4,3200,200,2000,1999000,,1499250,
4,3200,200,3000,4498500,,3373875,
4,3200,200,5000,12497500,,9373125,
4,3200,200,10000,49995000,,37496250,
4,3200,3200,100,4950,,3713,
4,3200,3200,250,31125,,23344,
4,3200,3200,500,124750,,93563,
4,3200,3200,1000,499500,,374625,
4,3200,3200,2000,1999000,,1499250,
4,3200,3200,3000,4498500,,3373875,
4,3200,3200,5000,12497500,,9373125,
4,3200,3200,10000,49995000,,37496250,
16,50,10,100,4950,,4641,
16,50,10,250,31125,,29180,
16,50,10,500,124750,,116953,
16,50,10,1000,499500,,468281,
16,50,10,2000,1999000,,1874063,
16,50,10,3000,4498500,,4217344,
16,50,10,5000,12497500,,11716406,
16,50,10,10000,49995000,,46870313,
16,50,20,100,4950,1189,4641,1141
16,50,20,250,31125,2040,29180,1914
16,50,20,500,124750,2483,116953,2310
16,50,20,1000,499500,2721,468281,2521
16,50,20,2000,1999000,2999,1874063,2773
16,50,20,3000,4498500,3050,4217344,2835
16,50,20,5000,12497500,3102,11716406,2884
16,50,20,10000,49995000,3118,46870313,2901
16,50,25,100,4950,1138,4641,1090
16,50,25,250,31125,2084,29180,1944
16,50,25,500,124750,2781,116953,2522
16,50,25,1000,499500,3478,468281,3156
16,50,25,2000,1999000,3753,1874063,3385
16,50,25,3000,4498500,3855,4217344,3493
16,50,25,5000,12497500,3992,11716406,3600
16,50,25,10000,49995000,4134,46870313,3738
16,50,30,100,4950,1164,4641,1086
16,50,30,250,31125,2216,29180,2002
16,50,30,500,124750,3229,116953,2894
16,50,30,1000,499500,3808,468281,3416
16,50,30,2000,1999000,4086,1874063,3662
16,50,30,3000,4498500,4205,4217344,3771
16,50,30,5000,12497500,4347,11716406,3936
16,50,30,10000,49995000,4453,46870313,4012
16,50,40,100,4950,,4641,
16,50,40,250,31125,,29180,
16,50,40,500,124750,,116953,
16,50,40,1000,499500,,468281,
16,50,40,2000,1999000,,1874063,
16,50,40,3000,4498500,,4217344,
16,50,40,5000,12497500,,11716406,
16,50,40,10000,49995000,,46870313,
16,50,50,100,4950,1106,4641,1156
16,50,50,250,31125,4066,29180,3893
16,50,50,500,124750,9423,116953,8645
16,50,50,1000,499500,20589,468281,18599
16,50,50,2000,1999000,39755,1874063,38068
16,50,50,3000,4498500,63091,4217344,59535
16,50,50,5000,12497500,98967,11716406,90438
16,50,50,10000,49995000,221779,46870313,199717
16,200,25,100,4950,2391,4641,2314
16,200,25,250,31125,6088,29180,5998
16,200,25,500,124750,7819,116953,7684
16,200,25,1000,499500,9170,468281,9050
16,200,25,2000,1999000,9657,1874063,9587
16,200,25,3000,4498500,9933,4217344,9858
16,200,25,5000,12497500,10111,11716406,10037
